Name,Author,Rating,Format,Price
Women in White Coats: How the First Women Doctors Changed the World of Medicine,Olivia Campbell,4.3,Paperback,$15.89
Against All Odds: A True Story of Ultimate Courage and Survival in World War II,Alex Kershaw,4.6,Hardcover,$20.00
All the Forgivenesses,Elizabeth Hardinger,4.5,Paperback,$10.79
"The Greatest Beer Run Ever: A Memoir of Friendship, Loyalty, and War",J. T. Molloy,4.6,Paperback,$15.99
The Girl in the Leaves (Berkley True Crime),Robert Scott,4.2,Kindle,$9.99
No Time Like the Future,Michael J Fox,4.7,Paperback,$12.59
History of the American Frontier - 1763-1893,Frederic L. Paxson,3.9,Paperback,$19.79
The Forgotten 500: The Untold Story of the Men Who Risked All for the Greatest Rescue Mission of World War II,Gregory A. Freeman,4.7,Paperback,$12.30
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,4.5,Paperback,$11.99
Empire of Pain: The Secret History of the Sackler Dynasty,Audible Audiobook,$0.00
The Last Hill: The Epic Story of a Ranger Battalion and the Battle That Defined WWII,Bob Drury,4.6,Hardcover,$26.99
In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,4.8,Paperback,$15.99
"Friends, Lovers, and the Big Terrible Thing: A Memoir",Audible Audiobook,$0.00
Black Ops: The Life of a CIA Shadow Warrior,Audible Audiobook,$0.00
"Into the Abyss: An Extraordinary True Story by Shaben, Carol (2014) Paperback",Carol Shaben,4.3,Paperback,$11.89
Storm Clouds Rolling In (#1 in the Bregdan Chronicles Historical Fiction Series),Book 1 of 20: The Bregdan Chronicles ,4.4,Kindle Edition,$0.00
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.3,Kindle Edition,$0.00
"Butcher, Biter, Spy: A True Story of Madness, Mutilation and Unspeakable Acts of Brutality (True Crime)",Part of: True Crime (26 books) ,4.5,Paperback,$11.99
The Warmth of Other Suns: The Epic Story of America's Great Migration,Audible Audiobook,$0.00
"5,000 Awesome Facts (About Everything!)",Part of: National Geographic Kids (118 books) ,4.8,Hardcover,$11.05
The Story Behind: The Extraordinary History Behind Ordinary Objects,Emily Prokop,4.4,Paperback,$15.49
Irreparable: Three Lives. Two Deaths. One Story that Has to be Told.,Mark Gerardot,4.2,Kindle,$0.00
"Five Families: The Rise, Decline, and Resurgence of America's Most Powerful Mafia Empires",Selwyn Raab,4.7,Paperback,$18.99
Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,4.8,Paperback,$8.88
Recipes for a Sacred Life: True Stories and a Few Miracles,Rivvy Neshama,4.4,Paperback,$15.38
"One Man's Wilderness, 50th Anniversary Edition: An Alaskan Odyssey",Sam Keith,4.8,Paperback,$17.99
The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,4.5,Kindle Edition,$0.00
"Physicians' Untold Stories: Miraculous experiences doctors are hesitant to share with their patients, or ANYONE!",Kindle Edition,$9.99
American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Audible Audiobook,$0.00
Freaking Idiots Guide To Selling On eBay: How anyone can make $100 or more everyday selling on eBay (eBay Selling Made Easy),Book 1 of 12: eBay Selling Made Easy ,4.1,Paperback,$15.99
Lady in Waiting: My Extraordinary Life in the Shadow of the Crown,Audible Audiobook,$0.00
My Own Words,Audible Audiobook,$0.00
"When the Moon Turns to Blood: Lori Vallow, Chad Daybell, and a Story of Murder, Wild Faith, and End Times",Leah Sottile,4.1,Kindle Edition,$15.99
"Surrender: A Memoir of Nature, Nurture, and Love",Marylee MacDonald,4.3,Kindle Edition,$6.99
The Pale-Faced Lie: A True Story,David Crow,4.5,Paperback,$13.49
"Don't Waste This Storm: Hope-Filled Thriving, Not Just Barely Surviving, in the Storms of Life",Kindle Edition,$5.99
"Invisible Child: Poverty, Survival & Hope in an American City (Pulitzer Prize Winner)",Andrea Elliott,4.7,Paperback,$15.70
Code Talker: The First and Only Memoir By One of the Original Navajo Code Talkers of WWII,Chester Nez,4.7,Paperback,$13.94
The Book of Joy: Lasting Happiness in a Changing World,Audible Audiobook,$0.00
Saved: A War Reporter's Mission to Make It Home,Benjamin Hall,Hardcover,$28.80
George Washington Dealmaker-In-Chief: The Story of How The Father of Our Country Unleashed The Entrepreneurial Spirit in America,Cyrus A. Ansary,4.7,Paperback,$12.83
Don Rickles: The Merchant of Venom,Michael  Starr,4.1,Kindle,$0.00
"The Biggest Ideas in the Universe: Space, Time, and Motion",Hardcover,$19.99
The Power of Your Subconscious Mind,Joseph Murphy,4.6,Paperback,$4.45
The Mosquito Bowl: A Game of Life and Death in World War II,Buzz Bissinger,4.3,Hardcover,$18.49
"One Man's Wilderness, 50th Anniversary Edition: An Alaskan Odyssey",Sam Keith,4.8,Paperback,$17.99
Battle for the American Mind: Uprooting a Century of Miseducation,Pete Hegseth,4.8,Hardcover,$14.49
Dead Mountain: The Untold True Story of the Dyatlov Pass Incident (-),Donnie Eichar,4.5,Paperback,$10.99
Home Sweet Murder (ID True Crime Book 2),Book 2 of 6: Murder Is Forever ,4.4,Kindle,$0.00
So Help Me Golf: Why We Love the Game,Rick Reilly,4.6,Hardcover,$14.59
Successful Aging: A Neuroscientist Explores the Power and Potential of Our Lives,Daniel J. Levitin,4.4,Paperback,$14.69
"The Last Campaign: Sherman, Geronimo and the War for America",H. W. Brands,4.4,Kindle,$14.99
The Lost City of the Monkey God: A True Story,Part of: The Lost City of the Monkey God (1 books) ,4.4,Audible Audiobook,$0.00
The Accidental President: Harry S. Truman and the Four Months That Changed the World,A. J. Baime,4.7,Paperback,$10.39
American Mother: Dangerous Women - True Crime Stories,Part of: Dangerous Women - True Crime Stories (2 books) ,3.8,Audible Audiobook,$0.00
"The Nazi Conspiracy: The Secret Plot to Kill Roosevelt, Stalin, and Churchill",Brad Meltzer,4.5,Hardcover,$18.07
The Weight of Air: A Story of the Lies about Addiction and the Truth about Recovery,David Poses,4.5,Paperback,$14.14
"Life Skills for Kids: How to Cook, Clean, Make Friends, Handle Emergencies, Set Goals, Make Good Decisions, and Everything in Between",Karen Harris,4.5,Paperback,$11.90
Faith Still Moves Mountains: Miraculous Stories of the Healing Power of Prayer,Harris Faulkner,4.8,Hardcover,$17.45
Number One Is Walking: My Life in the Movies and Other Diversions,Steve Martin,4.4,Hardcover,$15.00
Midnight in Chernobyl,Audible Audiobook,$0.00
The Vagabonds: The Story of Henry Ford and Thomas Edison's Ten-Year Road Trip (Thorndike Press Large Print Biographies and Memoir),Jeff Guinn,4.6,Library Binding,$32.99
Tiger & Phil: Golf's Most Fascinating Rivalry,Bob Harig,4.4,Hardcover,$20.47
The Wreck,Part of: Great Lakes Saga (4 books) ,4.2,Audible Audiobook,$0.00
Surviving The Forest (World War II Brave Women Fiction),Book 3 of 9: World War II Brave Women Fiction ,4.5,Paperback,$15.56
Never Give an Inch: Fighting for the America I Love,Mike Pompeo,4.7,Hardcover,$20.04
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Part of: National Geographic Kids (118 books) ,4.8,Hardcover,$17.99
The Extraordinary Life of an Ordinary Man: A Memoir,Hardcover,$24.98
"Butcher, Biter, Spy: A True Story of Madness, Mutilation and Unspeakable Acts of Brutality (True Crime)",Part of: True Crime (26 books) ,4.5,Paperback,$11.99
"The Trials of Harry S. Truman: The Extraordinary Presidency of an Ordinary Man, 1945-1953",Jeffrey Frank,4.5,Hardcover,$16.26
"The Lost Paratroopers of Normandy: A Story of Resistance, Courage, and Solidarity in a French Village",Stephen G. Rabe,4.3,Hardcover,$22.28
The Courage to Be Free: Florida's Blueprint for America's Revival,Ron DeSantis,4.6,Hardcover,$21.41
Bone Deep: Untangling the Betsy Faria Case,Audible Audiobook,$0.00
